time_s,state,position_cm,velocity_cms,distance_cm
0.05,PATH_PLANNING,0,0,150
0.1,PATH_PLANNING,0,0,150
0.15,PATH_PLANNING,0,0,150
0.2,PATH_PLANNING,0,0,150
0.25,PATH_PLANNING,0,0,150
0.3,PATH_PLANNING,0,0,150
0.35,MOVING,0,31.3725,150
0.4,MOVING,1.56863,31.3725,148.431
0.45,MOVING,3.13725,31.3725,146.863
0.5,MOVING,4.70588,31.3725,145.294
0.55,MOVING,6.27451,31.3725,143.725
0.6,MOVING,7.84314,31.3725,142.157
0.65,MOVING,9.41176,31.3725,140.588
0.7,MOVING,10.9804,31.3725,139.02
0.75,MOVING,12.549,31.3725,137.451
0.8,MOVING,14.1176,31.3725,135.882
0.85,MOVING,15.6863,31.3725,134.314
0.9,MOVING,17.2549,31.3725,132.745
0.95,MOVING,18.8235,31.3725,131.176
1,MOVING,20.3922,31.3725,129.608
1.05,MOVING,21.9608,31.3725,128.039
1.1,MOVING,23.5294,31.3725,126.471
1.15,MOVING,25.098,31.3725,124.902
1.2,MOVING,26.6667,31.3725,123.333
1.25,MOVING,28.2353,31.3725,121.765
1.3,MOVING,29.8039,31.3725,120.196
1.35,MOVING,31.3725,31.3725,118.627
1.4,MOVING,32.9412,31.3725,117.059
1.45,MOVING,34.5098,31.3725,115.49
1.5,MOVING,36.0784,31.3725,113.922
1.55,MOVING,37.6471,31.3725,112.353
1.6,MOVING,39.2157,31.3725,110.784
1.65,MOVING,40.7843,31.3725,109.216
1.7,MOVING,42.3529,31.3725,107.647
1.75,MOVING,43.9216,31.3725,106.078
1.8,MOVING,45.4902,31.3725,104.51
1.85,MOVING,47.0588,31.3725,102.941
1.9,MOVING,48.6275,31.3725,101.373
1.95,MOVING,50.1961,31.3725,99.8039
2,MOVING,51.7647,31.3725,98.2353
2.05,MOVING,53.3333,31.3725,96.6667
2.1,MOVING,54.902,31.3725,95.098
2.15,MOVING,56.4706,31.3725,93.5294
2.2,MOVING,58.0392,31.3725,91.9608
2.25,MOVING,59.6078,31.3725,90.3922
2.3,MOVING,61.1765,31.3725,88.8235
2.35,MOVING,62.7451,31.3725,87.2549
2.4,MOVING,64.3137,31.3725,85.6863
2.45,MOVING,65.8824,31.3725,84.1176
2.5,MOVING,67.451,31.3725,82.549
2.55,MOVING,69.0196,31.3725,80.9804
2.6,MOVING,70.5882,31.3725,79.4118
2.65,MOVING,72.1569,31.3725,77.8431
2.7,MOVING,73.7255,31.3725,76.2745
2.75,MOVING,75.2941,31.3725,74.7059
2.8,MOVING,76.8627,31.3725,73.1373
2.85,MOVING,78.4314,31.3725,71.5686
2.9,MOVING,80,31.3725,70
2.95,MOVING,81.5686,31.3725,68.4314
3,MOVING,83.1373,31.3725,66.8627
3.05,MOVING,84.7059,31.3725,65.2941
3.1,MOVING,86.2745,31.3725,63.7255
3.15,MOVING,87.8431,31.3725,62.1569
3.2,MOVING,89.4118,31.3725,60.5882
3.25,MOVING,90.9804,31.3725,59.0196
3.3,MOVING,92.549,31.3725,57.451
3.35,MOVING,94.1176,31.3725,55.8824
3.4,MOVING,95.6863,31.3725,54.3137
3.45,MOVING,97.2549,31.3725,52.7451
3.5,MOVING,98.8235,31.3725,51.1765
3.55,MOVING,100.392,31.3725,49.6078
3.6,MOVING,101.961,31.3725,48.0392
3.65,MOVING,103.529,31.3725,46.4706
3.7,MOVING,105.098,31.3725,44.902
3.75,MOVING,106.667,31.3725,43.3333
3.8,MOVING,108.235,31.3725,41.7647
3.85,MOVING,109.804,31.3725,40.1961
3.9,MOVING,111.373,31.3725,38.6275
3.95,MOVING,112.941,31.3725,37.0588
4,MOVING,114.51,31.3725,35.4902
4.05,MOVING,116.078,31.3725,33.9216
4.1,MOVING,117.647,31.3725,32.3529
4.15,MOVING,119.216,31.3725,30.7843
4.2,MOVING,120.784,31.3725,29.2157
4.25,MOVING,122.353,31.3725,27.6471
4.3,MOVING,123.922,31.3725,26.0784
4.35,MOVING,125.49,31.3725,24.5098
4.4,MOVING,127.059,31.3725,22.9412
4.45,MOVING,128.627,31.3725,21.3725
4.5,MOVING,130.196,31.3725,19.8039
4.55,MOVING,131.765,31.3725,18.2353
4.6,MOVING,133.333,31.3725,16.6667
4.65,MOVING,134.902,31.3725,15.098
4.7,OBSTACLE_DETECTED,136.471,0,13.5294
4.75,OBSTACLE_DETECTED,136.471,0,13.5294
4.8,OBSTACLE_DETECTED,136.471,0,13.5294
4.85,OBSTACLE_DETECTED,136.471,0,13.5294
4.9,OBSTACLE_DETECTED,136.471,0,13.5294
4.95,OBSTACLE_DETECTED,136.471,0,13.5294
5,REROUTING,136.471,-23.5294,13.5294
5.05,REROUTING,135.294,-23.5294,14.7059
5.1,REROUTING,134.118,-23.5294,15.8824
5.15,REROUTING,132.941,-23.5294,17.0588
5.2,REROUTING,131.765,-23.5294,18.2353
5.25,REROUTING,130.588,-23.5294,19.4118
5.3,REROUTING,129.412,-23.5294,20.5882
5.35,REROUTING,128.235,-23.5294,21.7647
5.4,REROUTING,127.059,-23.5294,22.9412
5.45,REROUTING,125.882,-23.5294,24.1176
5.5,REROUTING,124.706,-23.5294,25.2941
5.55,REROUTING,123.529,-23.5294,26.4706
5.6,REROUTING,122.353,-23.5294,27.6471
5.65,REROUTING,121.176,-23.5294,28.8235
5.7,REROUTING,120,-23.5294,30
5.75,REROUTING,118.824,-23.5294,31.1765
5.8,REROUTING,117.647,31.3725,32.3529
5.85,REROUTING,119.216,31.3725,30.7843
5.9,REROUTING,120.784,31.3725,29.2157
5.95,REROUTING,122.353,31.3725,27.6471
6,REROUTING,123.922,31.3725,26.0784
6.05,REROUTING,125.49,31.3725,24.5098
6.1,REROUTING,127.059,31.3725,22.9412
6.15,REROUTING,128.627,31.3725,21.3725
6.2,REROUTING,130.196,31.3725,19.8039
6.25,REROUTING,131.765,31.3725,18.2353
6.3,REROUTING,133.333,31.3725,16.6667
6.35,REROUTING,134.902,31.3725,15.098
6.4,REROUTING,136.471,31.3725,13.5294
6.45,REROUTING,138.039,31.3725,11.9608
6.5,REROUTING,139.608,31.3725,10.3922
6.55,REROUTING,141.176,31.3725,8.82353
6.6,REROUTING,142.745,31.3725,7.2549
6.65,REROUTING,144.314,31.3725,5.68627
6.7,REROUTING,145.882,31.3725,4.11765
6.75,REROUTING,147.451,31.3725,2.54902
6.8,REROUTING,149.02,31.3725,0.980392
6.85,REROUTING,150.588,31.3725,199.412
6.9,REROUTING,152.157,31.3725,197.843
6.95,REROUTING,153.725,31.3725,196.275
7,MOVING,155.294,31.3725,194.706
7.05,MOVING,156.863,31.3725,193.137
7.1,MOVING,158.431,31.3725,191.569
7.15,MOVING,160,31.3725,190
7.2,MOVING,161.569,31.3725,188.431
7.25,MOVING,163.137,31.3725,186.863
7.3,MOVING,164.706,31.3725,185.294
7.35,MOVING,166.275,31.3725,183.725
7.4,MOVING,167.843,31.3725,182.157
7.45,MOVING,169.412,31.3725,180.588
7.5,MOVING,170.98,31.3725,179.02
7.55,MOVING,172.549,31.3725,177.451
7.6,MOVING,174.118,31.3725,175.882
7.65,MOVING,175.686,31.3725,174.314
7.7,MOVING,177.255,31.3725,172.745
7.75,MOVING,178.824,31.3725,171.176
7.8,MOVING,180.392,31.3725,169.608
7.85,MOVING,181.961,31.3725,168.039
7.9,MOVING,183.529,31.3725,166.471
7.95,MOVING,185.098,31.3725,164.902
8,MOVING,186.667,31.3725,163.333
8.05,MOVING,188.235,31.3725,161.765
8.1,MOVING,189.804,31.3725,160.196
8.15,MOVING,191.373,31.3725,158.627
8.2,MOVING,192.941,31.3725,157.059
8.25,MOVING,194.51,31.3725,155.49
8.3,MOVING,196.078,31.3725,153.922
8.35,MOVING,197.647,31.3725,152.353
8.4,MOVING,199.216,31.3725,150.784
8.45,MOVING,200.784,31.3725,149.216
8.5,MOVING,202.353,31.3725,147.647
8.55,MOVING,203.922,31.3725,146.078
8.6,MOVING,205.49,31.3725,144.51
8.65,MOVING,207.059,31.3725,142.941
8.7,MOVING,208.627,31.3725,141.373
8.75,MOVING,210.196,31.3725,139.804
8.8,MOVING,211.765,31.3725,138.235
8.85,MOVING,213.333,31.3725,136.667
8.9,MOVING,214.902,31.3725,135.098
8.95,MOVING,216.471,31.3725,133.529
9,MOVING,218.039,31.3725,131.961
9.05,MOVING,219.608,31.3725,130.392
9.1,MOVING,221.176,31.3725,128.824
9.15,MOVING,222.745,31.3725,127.255
9.2,MOVING,224.314,31.3725,125.686
9.25,MOVING,225.882,31.3725,124.118
9.3,MOVING,227.451,31.3725,122.549
9.35,MOVING,229.02,31.3725,120.98
9.4,MOVING,230.588,31.3725,119.412
9.45,MOVING,232.157,31.3725,117.843
9.5,MOVING,233.725,31.3725,116.275
9.55,MOVING,235.294,31.3725,114.706
9.6,MOVING,236.863,31.3725,113.137
9.65,MOVING,238.431,31.3725,111.569
9.7,MOVING,240,31.3725,110
9.75,MOVING,241.569,31.3725,108.431
9.8,MOVING,243.137,31.3725,106.863
9.85,MOVING,244.706,31.3725,105.294
9.9,MOVING,246.275,31.3725,103.725
9.95,MOVING,247.843,31.3725,102.157
10,MOVING,249.412,31.3725,100.588
10.05,MOVING,250.98,31.3725,99.0196
10.1,MOVING,252.549,31.3725,97.451
10.15,MOVING,254.118,31.3725,95.8824
10.2,MOVING,255.686,31.3725,94.3137
10.25,MOVING,257.255,31.3725,92.7451
10.3,MOVING,258.824,31.3725,91.1765
10.35,MOVING,260.392,31.3725,89.6078
10.4,MOVING,261.961,31.3725,88.0392
10.45,MOVING,263.529,31.3725,86.4706
10.5,MOVING,265.098,31.3725,84.902
10.55,MOVING,266.667,31.3725,83.3333
10.6,MOVING,268.235,31.3725,81.7647
10.65,MOVING,269.804,31.3725,80.1961
10.7,MOVING,271.373,31.3725,78.6275
10.75,MOVING,272.941,31.3725,77.0588
10.8,MOVING,274.51,31.3725,75.4902
10.85,MOVING,276.078,31.3725,73.9216
10.9,MOVING,277.647,31.3725,72.3529
10.95,MOVING,279.216,31.3725,70.7843
11,MOVING,280.784,31.3725,69.2157
11.05,MOVING,282.353,31.3725,67.6471
11.1,MOVING,283.922,31.3725,66.0784
11.15,MOVING,285.49,31.3725,64.5098
11.2,MOVING,287.059,31.3725,62.9412
11.25,MOVING,288.627,31.3725,61.3725
11.3,MOVING,290.196,31.3725,59.8039
11.35,MOVING,291.765,31.3725,58.2353
11.4,MOVING,293.333,31.3725,56.6667
11.45,MOVING,294.902,31.3725,55.098
11.5,MOVING,296.471,31.3725,53.5294
11.55,MOVING,298.039,31.3725,51.9608
11.6,MOVING,299.608,31.3725,50.3922
11.65,MOVING,301.176,31.3725,48.8235
11.7,MOVING,302.745,31.3725,47.2549
11.75,MOVING,304.314,31.3725,45.6863
11.8,MOVING,305.882,31.3725,44.1176
11.85,MOVING,307.451,31.3725,42.549
11.9,MOVING,309.02,31.3725,40.9804
11.95,MOVING,310.588,31.3725,39.4118
12,MOVING,312.157,31.3725,37.8431
